anio,serie,porcentaje
2015,"% compromiso Agenda 2030",22.2
2015,"% compromiso explícito",0.0
2015,"% carta compromiso",0.0
2015,"% ODS prioritarios",0.0
2016,"% compromiso Agenda 2030",31.3
2016,"% compromiso explícito",18.8
2016,"% carta compromiso",12.5
2016,"% ODS prioritarios",12.5
2017,"% compromiso Agenda 2030",28.6
2017,"% compromiso explícito",21.4
2017,"% carta compromiso",21.4
2017,"% ODS prioritarios",14.3
2018,"% compromiso Agenda 2030",66.7
2018,"% compromiso explícito",46.7
2018,"% carta compromiso",20.0
2018,"% ODS prioritarios",13.3
2019,"% compromiso Agenda 2030",81.8
2019,"% compromiso explícito",54.5
2019,"% carta compromiso",31.8
2019,"% ODS prioritarios",31.8
2020,"% compromiso Agenda 2030",87.5
2020,"% compromiso explícito",79.2
2020,"% carta compromiso",50.0
2020,"% ODS prioritarios",29.2
2021,"% compromiso Agenda 2030",88.0
2021,"% compromiso explícito",64.0
2021,"% carta compromiso",44.0
2021,"% ODS prioritarios",24.0
2022,"% compromiso Agenda 2030",86.7
2022,"% compromiso explícito",63.3
2022,"% carta compromiso",43.3
2022,"% ODS prioritarios",23.3
2023,"% compromiso Agenda 2030",95.2
2023,"% compromiso explícito",95.2
2023,"% carta compromiso",33.3
2023,"% ODS prioritarios",14.3
