anio,serie,porcentaje
2015,"% medibles",11.1
2015,"% avances",11.1
2016,"% medibles",11.8
2016,"% avances",0.0
2017,"% medibles",14.3
2017,"% avances",14.3
2018,"% medibles",31.2
2018,"% avances",18.8
2019,"% medibles",31.8
2019,"% avances",27.3
2020,"% medibles",50.0
2020,"% avances",45.8
2021,"% medibles",40.0
2021,"% avances",48.0
2022,"% medibles",36.7
2022,"% avances",43.3
2023,"% medibles",57.1
2023,"% avances",61.9
