ODS,Nombre,NProyectos
ODS9,Industria e innovación,3764
ODS4,Educación de calidad,2638
ODS3,Salud y bienestar,2507
ODS1,Fin de la pobreza,1711
ODS13,Acción por el clima,1517
ODS12,Consumo responsable,1334
ODS11,Ciudades sostenibles,1205
ODS17,Alianzas,1092
ODS15,Ecosistemas terrestres,978
ODS2,Hambre cero,964
ODS16,Paz y justicia,835
ODS10,Reducción desigualdades,790
ODS8,Trabajo decente,723
ODS7,Energía asequible,696
ODS5,Igualdad de género,587
ODS6,Agua limpia,372
ODS14,Vida submarina,251
