REF.,TÍTULO,BENEFICIARIO,CCAA,INICIO,FIN,PRESUPUESTO TOTAL,CONTRIBUCIÓN UE,ODS,ODS1,ODS2,ODS3,ODS4,ODS5,ODS6,ODS7,ODS8,ODS9,ODS10,ODS11,ODS12,ODS13,ODS14,ODS15,ODS16,ODS17
LIFE17 CCM/ES/000051,Development of high value-added bioproducts from forest waste through microwave technology,UNIVERSIDAD DE ALCALA,MADRID,03/09/2018,02/03/2023,1319955,786655,SI,,SI,,SI,,,,SI,,,,SI,,,,,SI
LIFE17 ENV/ES/000260,SURFactant enhanced chemical oxidation for remediatING DNAPL,UNIVERSIDAD COMPLUTENSE DE MADRID,MADRID,01/01/2019,31/12/2023,2081507,1182452,SI,SI,SI,SI,SI,SI,SI,,SI,,SI,SI,SI,SI,SI,SI,,SI
LIFE17 ENV/ES/000329,Recycled and Natural Materials and Products to develop nearly zero energy buildings with low carbon footprint,UNIVERSIDAD DE CORDOBA,ANDALUCIA,01/09/2018,31/03/2024,2079415,1230359,NO,,,,,,,,,,,,,,,,,
LIFE17 CCA/ES/000030,Prevention of X. fastidiosa in intensive olive & almond plantations applying productive green farming practices,UNIVERSIDAD DE CORDOBA,ANDALUCIA,01/07/2018,30/06/2022,2968675,1723567,NO,,,,,,,,,,,,,,,,,
LIFE17 CCM/ES/000140,Development of climate change mitigation strategies through carbon-smart agriculture,UNIVERSIDAD DE CORDOBA,ANDALUCIA,15/09/2018,29/02/2024,2782957,1669774,SI,,,,,,,,,,,,,SI,,,,
LIFE17 CCA/ES/000035,Adaptation to Climate Change of Extensive Livestock Production Models in Europe,UNIVERSIDAD DE CORDOBA,ANDALUCIA,03/09/2018,31/12/2022,2207025,1324211,SI,,,,,,,,,,,,,SI,,,,
LIFE17 ENV/ES/000229,POST-CONSUMPTION FILM PLASTIC RECYCLING FROM MUNICIPAL SOLID WASTE,UNIVERSIDAD DE GRANADA,ANDALUCIA,01/07/2018,31/10/2023,5121476,1982157,NO,,,,,,,,,,,,,,,,,
LIFE17 ENV/ES/000228,"SYSTEMATIC AND INTEGRAL VALORIZATION OF REFRACTORIES UNDER THE ""5R"" APPROACH",UNIVERSIDAD DE MALAGA,ANDALUCIA,01/07/2018,31/12/2020,1675395,1005234,NO,,,,,,,,,,,,,,,,,
LIFE17 NAT/ES/000184,"Conservación de los hábitats y aves acuáticas en el LIC y ZEPA ES0000175 ""Salinas y Arenales de San Pedro del Pinatar""",UNIVERSIDAD DE MURCIA,MURCIA,01/09/2018,30/09/2022,1790845,1002618,SI,,SI,SI,SI,,SI,,SI,,,,SI,,SI,SI,,SI
LIFE17 GIE/ES/000515,Aquatic Invasive Alien Species of Freshwater and Estuarine Systems: Awareness and Prevention in the Iberian Peninsula,UNIVERSIDAD DE MURCIA,MURCIA,01/11/2018,31/10/2023,3075139,1844656,SI,,,,,,SI,,,,,,,,,SI,,
LIFE17 GIE/ES/000515,Aquatic Invasive Alien Species of Freshwater and Estuarine Systems: Awareness and Prevention in the Iberian Peninsula,UNIVERSIDAD DE NAVARRA,NAVARRA,01/11/2018,31/10/2023,3075139,1844656,SI,,,,,,SI,,,,,,,,,SI,,
LIFE17 GIE/ES/000515,Aquatic Invasive Alien Species of Freshwater and Estuarine Systems: Awareness and Prevention in the Iberian Peninsula,UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,GALICIA,01/11/2018,31/10/2023,3075139,1844656,SI,,,,,,SI,,,,,,,,,SI,,
LIFE17 CCM/ES/000074,Ecological cellular structural systems for a Building model for Climate Change Mitigation and Forest value enhancement,UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,GALICIA,01/09/2018,30/06/2022,2003142,1179369,,,,,,,,,,,,,,SI,,,,
LIFE17 ENV/ES/000341,Innovative Secondary Wastewater Treatment with REsource REcovery,UNIVERSITAT DE BARCELONA,CATALUÑA,01/09/2018,29/02/2024,1752612,1043783,SI,,,,,,SI,,,,,,,,,,,
LIFE17 ENV/ES/000205,PEsticide Reduction using Friendly and Environmentally Controlled Technologies,UNIVERSITAT POLITECNICA DE CATALUNYA,CATALUÑA,01/09/2018,31/08/2023,2017669,1194287,NO,,,,,,,,,,,,,,,,,
LIFE17 ENV/FR/000233,Achieve Good Environmental Status for Coastal Infrastructures Construction,UNIVERSITAT POLITECNICA DE CATALUNYA,CATALUÑA,01/09/2018,30/09/2024,3722597,2227556,NO,,,,,,,,,,,,,,,,,
LIFE17 CCA/ES/000063,"Coupling water, fire and climate resilience with biomass production in Forestry to adapt watersheds to climate change",UNIVERSITAT POLITECNICA DE VALENCIA,C. VALENCIANA,01/10/2018,31/03/2023,2013973,1192420,SI,,,,,,SI,,,,,,,SI,,,,
