REF.,TÍTULO,BENEFICIARIO,CCAA,INICIO,FIN,PRESUPUESTO TOTAL,CONTRIBUCIÓN UE,ODS,ODS1,ODS2,ODS3,ODS4,ODS5,ODS6,ODS7,ODS8,ODS9,ODS10,ODS11,ODS12,ODS13,ODS14,ODS15,ODS16,ODS17
LIFE21-ENV-ES-BIODAPH2O/101074191,Eco-efficient system for wastewater tertiary treatment and water reuses in the Mediterranean region,FUNDACIO UNIVERSITARIA BALMES,CATALUÑA,01/08/2022,31/01/2026,2128772,1277263,SI,,,,,,SI,,,,,,,,,,,
LIFE21-CCM-ES-LIFE-TOKEN-CO2/101074388,Validation of an advanced CO2 life cycle model and non-speculative Emissions Trading System in a digital platform for an efficient sustainable forest management,FUNDACION UNIVERSITARIA SAN ANTONIO,MURCIA,01/10/2022,31/03/2026,2987163,1792298,SI,,,,SI,,,,,,,,SI,,,,,
LIFE21-ENV-ES-LIFE-INDESAL/101074444,"Integrated water, energy and resources production for sustainable seawater desalination",UNIVERSIDAD DE CANTABRIA,CANTABRIA,01/08/2022,31/01/2026,3117233,1870340,SI,,,,,,SI,,,,,,,,,,,
LIFE21-GIC-ES-LIFE-AdaptCalaMillor/101074227,Participatory and multi-level governance process to design a transformational climate change adaptation project at Cala Millor beach from an integrated and multidisciplinary science-based approach,UNIVERSIDAD DE CANTABRIA,CANTABRIA,01/01/2023,30/04/2027,2294047,1376424,SI,,,,,,,,,,,,,SI,,,,
LIFE21-CCM-ES-LIFE-TOKEN-CO2/101074388,Validation of an advanced CO2 life cycle model and non-speculative Emissions Trading System in a digital platform for an efficient sustainable forest management,UNIVERSIDAD DE CASTILLA - LA MANCHA,CASTILLA-LA MANCHA,01/10/2022,31/03/2026,2987163,1792298,SI,,,,SI,,,,,,,,SI,,,,,
LIFE21-CCM-ES-LIFE-Innocereal-EU/101074009,Connecting the cereal value chain and creating sustainable certification for carbon neutral production in Europe.,UNIVERSIDAD DE CORDOBA,ANDALUCIA,01/07/2022,30/06/2026,3057003,1831177,SI,,SI,,,,,,SI,,,,SI,,,,,SI
LIFE21-CCM-ES-LIFE-CARBON2MINE/101074333,Carbon sequestration through sustainable forest and grassland management for climate change mitigation and biodiversity conservation in mining areas,UNIVERSIDAD DE OVIEDO,PRINCIPADO DE ASTURIAS,01/10/2022,30/09/2028,4158222,2491828,SI,,,,,,,,,,,,,SI,,,,
LIFE21-CCA-ES-LIFE-SILFORE/101074445,Towards the conservation and management of resilient agroforestry systems through silvopastoralism,UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,GALICIA,01/09/2022,31/08/2027,2599081,1559449,SI,,,,,,,,,,,,,,SI,,,
LIFE21-CCM-ES-LIFE-CARBON2MINE/101074333,Carbon sequestration through sustainable forest and grassland management for climate change mitigation and biodiversity conservation in mining areas,UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,GALICIA,01/10/2022,30/09/2028,4158222,2491828,SI,,,,,,,,,,,,,SI,,,,
LIFE21-CET-ENERCOM-JALON/101076395,Joining Actors for LOcal development of New large-scale regional energy communities,UNIVERSIDAD DE ZARAGOZA,ARAGON,01/11/2022,30/04/2026,1839357,1747389,SI,,,,,,,,,,,,,,,,,SI
LIFE21-CET-ENERCOM-JALON/101076395,Joining Actors for LOcal development of New large-scale regional energy communities,UNIVERSIDAD POLITECNICA DE MADRID,MADRID,01/11/2022,30/04/2026,1839357,1747389,SI,,,,,,,,,,,,,,,,,SI
LIFE21-ENV-ES-BIODAPH2O/101074191,Eco-efficient system for wastewater tertiary treatment and water reuses in the Mediterranean region,UNIVERSITAT DE GIRONA,CATALUÑA,01/08/2022,31/01/2026,2128772,1277263,SI,,,,,,SI,,,,,,,,,,,
LIFE21-GIC-ES-LIFE-AdaptCalaMillor/101074227,Participatory and multi-level governance process to design a transformational climate change adaptation project at Cala Millor beach from an integrated and multidisciplinary science-based approach,UNIVERSITAT DE LES ILLES BALEARS,BALEARES,01/01/2023,30/04/2027,2294047,1376424,SI,,,,,,,,,,,,,SI,,,,
LIFE21-CET-LOCAL-GENERA/101077073,Re-vitalising Energy Transition in Touristic Islands,UNIVERSITAT POLITECNICA DE VALENCIA,C. VALENCIANA,01/11/2022,30/04/2025,1841042,1748987,SI,,,,,,,SI,,,,,,,,,,
LIFE21-IPC-ES--LIFE-eCOadapt50/101069781,Co-creation of strategic action for climate change adaptation of territories and local economies,UNIVERSITAT ROVIRA I VIRGILI,CATALUÑA,01/01/2023,31/12/2030,18656636,11193981,SI,,,,,,,,,,,,,SI,,,,
