REF.,SUBÁREA,BENEFICIARIO,CENTRO,CCAA,DURACIÓN,CUANTÍA,ODS,ODS1,ODS2,ODS3,ODS4,ODS5,ODS6,ODS7,ODS8,ODS9,ODS10,ODS11,ODS12,ODS13,ODS14,ODS15,ODS16,ODS17
PDC2023-145859-I00,MNF,UNIVERSIDAD DE CADIZ,FACULTAD DE CIENCIAS,ANDALUCIA,2,139634.0,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145907-I00,TRA,UNIVERSIDAD DE CADIZ,UNIVERSIDAD DE CADIZ,ANDALUCIA,2,290400.0,SI,,,,,,,,,SI,,SI,,,,,,
PDC2023-145916-I00,TCO,UNIVERSIDAD DE CORDOBA,FACULTAD DE CIENCIAS,ANDALUCIA,2,185783.4,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145862-I00,MNF,UNIVERSIDAD DE GRANADA,E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,ANDALUCIA,2,290400.0,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145915-I00,MNF,UNIVERSIDAD DE GRANADA,UNIVERSIDAD DE GRANADA,ANDALUCIA,2,290400.0,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145863-I00,TCO,UNIVERSIDAD DE JAEN,CENTRO DE ESTUDIOS AVANZADOS EN TECNOLOGÍAS DE LA INFORMACIÓN Y DE LA COMUNICACIÓN,ANDALUCIA,2,278300.0,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145800-I00,MNF,UNIVERSIDAD DE MALAGA,ESCUELA TECNICA SUPERIOR DE INGENIERIA INFORMATICA,ANDALUCIA,2,257367.0,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145833-I00,MNF,UNIVERSIDAD DE MALAGA,INSTITUTO UNIVERSITARIO DE TELECOMUNICACIONES,ANDALUCIA,2,202675.0,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145828-C21,MNF,UNIVERSIDAD DE SEVILLA,ESCUELA TECNICA SUPERIOR DE INGENIEROS,ANDALUCIA,2,144050.5,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145876-C21,MNF,UNIVERSIDAD DE SEVILLA,ESCUELA TECNICA SUPERIOR DE INGENIEROS,ANDALUCIA,2,163821.9,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145808-I00,MNF,UNIVERSIDAD DE SEVILLA,INSTITUTO DE MICROELECTRONICA DE SEVILLA,ANDALUCIA,2,241879.0,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145873-I00,MNF,UNIVERSIDAD DE SEVILLA,INSTITUTO DE MICROELECTRONICA DE SEVILLA,ANDALUCIA,2,160930.0,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145889-C21,MNF,UNIVERSIDAD DE SEVILLA,INSTITUTO DE MICROELECTRONICA DE SEVILLA,ANDALUCIA,2,151492.0,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145841-C33,MNF,UNIVERSIDAD DE SEVILLA,INSTITUTO UNIVERSITARIO EN INGENIERÍA INFORMÁTICA (I3US),ANDALUCIA,2,87579.8,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145851-I00,INF,UNIVERSIDAD DE ZARAGOZA,INSTITUTO DE INVESTIGACION EN INGENIERIA DE ARAGON I3A-,ARAGON,2,274778.9,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145803-I00,MNF,UNIVERSIDAD DE ZARAGOZA,INSTITUTO UNIVERSITARIO DE INVESTIGACION EN INGENIERIA DE ARAGON,ARAGON,2,273460.0,SI,,,,,,,,,SI,,,,,,,,
PDC2023-145837-I00,IEA,UNIVERSIDAD DE ZARAGOZA,INSTITUTO UNIVERSITARIO DE INVESTIGACION EN INGENIERIA DE ARAGON,ARAGON,2,290400.0,SI,,,,,,,SI,,SI,,,,,,,,
