REF.,TÍTULO,BENEFICIARIO,CCAA,INICIO,FIN,PRESUPUESTO TOTAL,CONTRIBUCIÓN UE,ODS,ODS1,ODS2,ODS3,ODS4,ODS5,ODS6,ODS7,ODS8,ODS9,ODS10,ODS11,ODS12,ODS13,ODS14,ODS15,ODS16,ODS17
LIFE19 ENV/ES/000278,Innovative cost-effective multibarrier treatments for reusing water for agricultural irrigation,UNIVERSIDAD DE ALMERIA,ANDALUCIA,01/09/2020,28/02/2025,3390078,1855113,SI,,,,,,SI,,,,,,,,,,,
LIFE19 CCA/ES/001209,Financing Cities Adaptation to Climate Change through Public-Private Partnerships and Corporate Social Responsibility,UNIVERSIDAD DE MURCIA,MURCIA,01/09/2020,30/09/2024,2302509,1148339,SI,,,,,,,,,,,,,SI,,,,
LIFE19 CCM/ES/001189,Production of advanced biodiesel from animal wastes using supercritical technologies,UNIVERSIDAD DE MURCIA,MURCIA,01/06/2020,30/11/2024,1722411,931927,SI,,SI,,,,,,,,,,,,,,,
LIFE19 CCA/ES/001188,"CLIMATE CHANGE ADAPTATION IN THE HERITAGE CITY OF SALAMANCA (ES): ECOSYSTEM SERVICES, GREEN INFRASTRUCTURE AND BIG DATA",UNIVERSIDAD DE SALAMANCA,CASTILLA Y LEON,01/09/2020,30/06/2024,2861101,1424390,SI,,,,,,,,,,,,,SI,,,,
LIFE19 CCA/ES/001181,Sustainable adaptation to climate change of forest sector management in the province of Soria,UNIVERSIDAD DE VALLADOLID,CASTILLA Y LEON,01/10/2020,31/01/2025,1591588,867753,SI,,,,,,,,,,,,,SI,,,,
LIFE19 CCA/ES/001188,"CLIMATE CHANGE ADAPTATION IN THE HERITAGE CITY OF SALAMANCA (ES): ECOSYSTEM SERVICES, GREEN INFRASTRUCTURE AND BIG DATA",UNIVERSIDAD DEL PAIS VASCO/EUSKAL HERRIKO UNIBERTSITATEA,PAIS VASCO,01/09/2020,30/06/2024,2861101,1424390,SI,,,,,,,,,,,,,SI,,,,
LIFE19 ENV/ES/000631,Positive energy waste water treatment plant for combined treatment of waste water and bio-waste in small populations,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,GALICIA,01/09/2020,31/08/2025,2454512,1349978,SI,,,,,,SI,,,,,,,,,,,
LIFE19 ENV/ES/000544,Implementing a Mediterranean biorefinery to boost forest management through the production of added value products.,UNIVERSITAT AUTONOMA DE BARCELONA,CATALUÑA,01/10/2020,30/09/2024,1576774,863924,SI,,SI,,,,,,SI,,,,SI,,,,,
LIFE19 ENV/ES/000191,Non-IMpact BUS: Demonstration of a biological methanation plant for sustainable urban transport,UNIVERSITAT AUTONOMA DE BARCELONA,CATALUÑA,01/09/2020,30/06/2025,1987494,1093120,SI,,,,SI,,,,,,,,,,,SI,,
LIFE19 ENV/ES/000197,Integrating circular economy and biodiversity in sustainable wastewater treatments based on constructed wetlands,UNIVERSITAT DE VALENCIA,C. VALENCIANA,01/10/2020,31/03/2025,1893955,1041675,SI,,,,,,SI,,,,,,,,,,,
LIFE19 ENV/ES/000631,Positive energy waste water treatment plant for combined treatment of waste water and bio-waste in small populations,UNIVERSITAT DE VALENCIA,C. VALENCIANA,01/09/2020,31/08/2025,2454512,1349978,SI,,,,,,SI,,,,,,,,,,,
LIFE19 ENV/ES/000197,Integrating circular economy and biodiversity in sustainable wastewater treatments based on constructed wetlands,UNIVERSITAT POLITECNICA DE VALENCIA,C. VALENCIANA,01/10/2020,31/03/2025,1893955,1041675,,,,,,,SI,,,,,,,,,,,
