REF.,TÍTULO,BENEFICIARIO,CCAA,INICIO,FIN,PRESUPUESTO TOTAL,CONTRIBUCIÓN UE,ODS,ODS1,ODS2,ODS3,ODS4,ODS5,ODS6,ODS7,ODS8,ODS9,ODS10,ODS11,ODS12,ODS13,ODS14,ODS15,ODS16,ODS17
LIFE23-ENV-ES-SALTEAU/101148475,Sustainable drinking and irrigation water production from saline alternative water resources,UNIVERSIDAD DE ALMERIA,ANDALUCIA,01/09/2024,28/02/2029,4417999,2650799,SI,,,,,,SI,,,,,,,,,,,
LIFE23-CCM-ES-WOOD4LIFE/101156491,"Locking carbon in harvested wood products, from forests to sustainable wood products",UNIVERSIDAD DE CASTILLA - LA MANCHA,CASTILLA-LA MANCHA,01/09/2024,31/08/2028,3304163,1982498,SI,,,,,,,,,,,,SI,,,,,
LIFE23-ENV-ES-DESALIFE/101147553,Desalination for Environmental Sustainability And LIFE,UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,CANARIAS,01/01/2025,31/12/2029,9880868,5928521,SI,,,,,,SI,,,,,,,,,,,
LIFE23-NAT-ES-LIFE-GLOBAL/101146070,Transnational strategy for restoring Northern Iberian Natura 2000 high conservation value areas under a global change perspective,UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,GALICIA,01/06/2024,30/09/2029,5183382,3887537,SI,,,,SI,,,,SI,,,,,,,,,SI
LIFE23-ENV-ES-LIFE-NEEVE/101148428,"Innovative technologies to monitor and reduce Non-Exhaust Emissions, particles and microplastics of VEhicles and pavements to improve air quality and human health.",UNIVERSIDAD DE SEVILLA,ANDALUCIA,01/05/2024,30/04/2028,4601064,2760639,SI,,,SI,,,,,,,,,,,,,,
LIFE23-ENV-ES-LIFE-NEEVE/101148428,"Innovative technologies to monitor and reduce Non-Exhaust Emissions, particles and microplastics of VEhicles and pavements to improve air quality and human health.",UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE,C. VALENCIANA,01/05/2024,30/04/2028,4601064,2760639,SI,,,SI,,,,,,,,,,,,,,
LIFE23-ENV-ES-LIFE-SeedNEB/101148064,"Beautifying cities through nature: implementation of biodiversity-friendly NBS framed by the New European Bauhaus in 3 pilot neighbourhoods of Spain, Italy and Hungary",UNIVERSIDAD POLITECNICA DE MADRID,MADRID,01/07/2024,30/06/2028,3134372,1880622,SI,,,SI,,SI,,,SI,,,,SI,,,,,SI
LIFE23-CCA-ES-LIFE-ACCLIMATE/101157315,Cultivating Resilience: Climate Change Adaptation Strategies for Greenhouses to Enhance Yield and Resource Efficiency,UNIVERSIDAD POLITECNICA DE MADRID,MADRID,01/09/2024,31/07/2028,4468538,2681123,SI,,,,,,,,,,,,,SI,,,,
LIFE23-NAT-ES-LIFEOASIS/101148343,Mitigating the negative interactions of protected species with marine litter and pelagic fisheries of the Mediterranean,UNIVERSITAT DE VALENCIA,C. VALENCIANA,02/09/2024,01/09/2029,5551062,4163296,SI,,,,,,,,,,,,,,,SI,,
