REF.,SUBÁREA,BENEFICIARIO,CENTRO,CCAA,DURACIÓN,CUANTÍA,ODS,ODS1,ODS2,ODS3,ODS4,ODS5,ODS6,ODS7,ODS8,ODS9,ODS10,ODS11,ODS12,ODS13,ODS14,ODS15,ODS16,ODS17
PDC2021-120939-I00,BDV,UNIVERSIDAD DE OVIEDO,DPTO. BIOLOGIA FUNCIONAL,PDO.ASTURIAS,2,120750.0,SI,,,,,,,,,,,,,,,SI,,
PDC2021-121472-I00,DER,UNIVERSIDAD DE OVIEDO,DPTO. CIENCIAS JURÍDICAS BÁSICAS,PDO.ASTURIAS,2,25875.0,SI,,,,,,,,,,,,,,,,SI,
PDC2021-121242-I00,IEA,UNIVERSIDAD DE OVIEDO,"DPTO. INGENIERÍA ELÉCTRICA, ELECTRÓNICA, DE
COMPUTADORES Y SISTEMAS",PDO.ASTURIAS,2,80500.0,SI,,,,,,,SI,,SI,,,,,,,,
PDC2021-120835-C21,IQM,UNIVERSIDAD DE OVIEDO,DPTO. INGENIERÍA QUÍMICA Y TECNOLOGÍA DEL MEDIOAMBIENTE,PDO.ASTURIAS,2,126500.0,SI,,,,,,,,,SI,,,SI,,,,,
PDC2021-121444-I00,MBM,UNIVERSIDAD DE OVIEDO,DPTO. QUÍMICA FÍSICA Y ANALÍTICA,PDO.ASTURIAS,2,86250.0,SI,,,SI,,,,,,,,,,,,,,
PDC2021-121248-I00,MES,UNIVERSIDAD DE ALMERIA,"CIAIMBITAL_CENTRO DE INVESTIGACIÓN EN
AGROSISTEMAS INTENSIVOS MEDITERRÁNEOS Y BIOTECNOLOGÍA AGROALIM",ANDALUCIA,2,149500.0,SI,,,,,,,,,SI,,,,,,,,
PDC2021-121772-I00,IQM,UNIVERSIDAD DE ALMERIA,CIESOL CENTRO MIXTO DE INVESTIGACIÓN EN ENERGÍA SOLAR UAL-CIEMAT,ANDALUCIA,2,147315.0,SI,,,,,,,,,SI,,,SI,,,,,
PDC2021-121861-C21,IQM,UNIVERSIDAD DE ALMERIA,CIESOL CENTRO MIXTO DE INVESTIGACIÓN EN ENERGÍA SOLAR UAL-CIEMAT,ANDALUCIA,2,87400.0,SI,,,,,,,,,SI,,,SI,,,,,
PDC2021-121690-I00,MAR,UNIVERSIDAD DE CADIZ,CENTRO ANDALUZ SUPERIOR DE ESTUDIOS MARINOS,ANDALUCIA,2,74750.0,SI,,,,,,,,,,,,,,SI,,,
PDC2021-121356-I00,ARQ,UNIVERSIDAD DE CADIZ,"DPTO. HISTORIA, GEOGRAFÍA Y FILOSOFÍA",ANDALUCIA,2,89700.0,SI,,,,,,,,,,,SI,,,,,,
PDC2021-120739-C21,MES,UNIVERSIDAD DE CADIZ,FACULTAD DE CIENCIAS,ANDALUCIA,2,96600.0,SI,,,,,,,,,SI,,,,,,,,
PDC2021-121652-I00,MES,UNIVERSIDAD DE CADIZ,FACULTAD DE CIENCIAS,ANDALUCIA,2,124200.0,SI,,,,,,,,,SI,,,,,,,,
PDC2021-120792-I00,MAR,UNIVERSIDAD DE CADIZ,FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES,ANDALUCIA,2,143750.0,SI,,,,,,,,,,,,,,SI,,,
PDC2021-121741-I00,PSI,UNIVERSIDAD DE CORDOBA,DPTO. PSICOLOGIA,ANDALUCIA,2,63250.0,SI,,,SI,,,,,,,,,,,,,,
PDC2021-120845-C54,AYF,UNIVERSIDAD DE CORDOBA,"ESCUELA TECNICA SUPERIOR DE INGENIEROS
AGRONOMOS Y DE MONTES",ANDALUCIA,2,11500.0,SI,,SI,,,,,,,,,,,,,SI,,
PDC2021-121701-I00,AYF,UNIVERSIDAD DE CORDOBA,"ESCUELA TECNICA SUPERIOR DE INGENIEROS
AGRONOMOS Y DE MONTES",ANDALUCIA,2,138000.0,SI,,SI,,,,,,,,,,,,,SI,,
PDC2021-121765-I00,AYF,UNIVERSIDAD DE CORDOBA,"ESCUELA TECNICA SUPERIOR DE INGENIEROS
AGRONOMOS Y DE MONTES",ANDALUCIA,2,115000.0,SI,,SI,,,,,,,,,,,,,SI,,
PDC2021-120872-I00,QMC,UNIVERSIDAD DE CORDOBA,FACULTAD DE CIENCIAS,ANDALUCIA,2,80500.0,SI,,,,,,,,,,,,SI,,,,,
PDC2021-120900-I00,QMC,UNIVERSIDAD DE CORDOBA,FACULTAD DE CIENCIAS,ANDALUCIA,2,74750.0,SI,,,,,,,,,,,,SI,,,,,
PDC2021-120903-I00,MEN,UNIVERSIDAD DE CORDOBA,FACULTAD DE CIENCIAS,ANDALUCIA,2,143750.0,SI,,,,,,,,,,,,,SI,,,,
PDC2021-121865-I00,MEN,UNIVERSIDAD DE CORDOBA,FACULTAD DE CIENCIAS,ANDALUCIA,2,115000.0,SI,,,,,,,,,,,,,SI,,,,
PDC2021-120944-I00,PSI,UNIVERSIDAD DE GRANADA,"CENTRO DE INVESTIGACION MENTE, CEREBRO Y
COMPORTAMIENTO",ANDALUCIA,2,92000.0,SI,,,SI,,,,,,,,,,,,,,
PDC2021-120953-I00,EYF,UNIVERSIDAD DE GRANADA,DPTO. DE ORGANIZACIÓN DE EMPRESAS,ANDALUCIA,2,74750.0,SI,,,,,,,,SI,,,,,,,,,
PDC2021-120945-I00,IBI,UNIVERSIDAD DE GRANADA,"E.T.S. DE INGENIEROS DE CAMINOS, CANALES Y PUERTOS",ANDALUCIA,2,126500.0,SI,,,SI,,,,,,,,,,,,,,
PDC2021-121135-I00,BTC,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,ANDALUCIA,2,146050.0,SI,,,SI,,,,,,SI,,,,,,,,
PDC2021-121306-I00,EDU,UNIVERSIDAD DE GRANADA,UNIVERSIDAD DE GRANADA,ANDALUCIA,2,69000.0,SI,,,,SI,,,,,,,,,,,,,
PDC2021-121288-I00,INA,UNIVERSIDAD DE JAEN,ESCUELA POLITECNICA SUPERIOR,ANDALUCIA,2,138000.0,SI,,,,,,,,,SI,,,,,,,,
PDC2021-121882-I00,PSI,UNIVERSIDAD DE JAEN,"FACULTAD DE HUMANIDADES Y CIENCIAS DE LA
EDUCACION",ANDALUCIA,2,57500.0,SI,,,SI,,,,,,,,,,,,,,
