REF.,TÍTULO,BENEFICIARIO,CCAA,INICIO,FIN,PRESUPUESTO TOTAL,CONTRIBUCIÓN UE,ODS,ODS1,ODS2,ODS3,ODS4,ODS5,ODS6,ODS7,ODS8,ODS9,ODS10,ODS11,ODS12,ODS13,ODS14,ODS15,ODS16,ODS17
LIFE16 ENV/ES/000218,Decreasing the environmental impact caused by abandoned mines on water bodies,FUNDACIO UNIVERSITARIA BALMES,CATALUÑA,01/07/2017,30/06/2022,2184632,1310477,SI,,,,,,SI,,,,,,,,,,,
LIFE16 NAT/ES/000768,"Restoration, conservation and governance of the Alnus aluvial forests in the Mediterranean Region",FUNDACIO UNIVERSITARIA BALMES,CATALUÑA,03/07/2017,31/12/2022,2509684,1882263,SI,,SI,,SI,,SI,,,,,,,,SI,SI,,
LIFE16 ENV/ES/000169,Validation of adsorbent materials and advanced oxidation techniques to remove emerging pollutants in treated wastewater,FUNDACION UNIVERSITARIA SAN ANTONIO,MURCIA,01/10/2017,30/06/2022,1492512,895506,NO,,,,,,,,,,,,,,,,,
LIFE16 ENV/ES/000159,Innovative techniques for Facies Weald and Utrillas mine restoration,UNIVERSIDAD COMPLUTENSE DE MADRID,MADRID,01/11/2017,01/05/2022,1589256,942456,SI,,,SI,SI,,,,,,,,,,,SI,,
LIFE16 ENV/ES/000341,DESALINATED SEAWATER FOR ALTERNATIVE AND SUSTAINABLE SOILLESS CROP PRODUCTION,UNIVERSIDAD DE ALMERIA,ANDALUCÍA,01/11/2017,31/12/2020,1048026,607329,SI,,,,,,SI,,,,,,,,,,,
LIFE16 ENV/ES/000331,Reclamation of olive oil waste abandoned lagoons using biorecovering strategies in a circular economy scenario,UNIVERSIDAD DE ALMERIA,ANDALUCÍA,01/10/2017,31/03/2022,1480627,879029,SI,,SI,,SI,,SI,,SI,,,,SI,,,,,SI
LIFE16 ENV/ES/000254,REcovery of POLYurethane for reUSE in eco-efficient materials,UNIVERSIDAD DE BURGOS,CASTILLA Y LEON,01/10/2017,31/12/2020,1289434,773660,NO,,,,,,,,,,,,,,,,,
LIFE16 ENV/ES/000242,LIFE-2-ACID,UNIVERSIDAD DE CANTABRIA,CANTABRIA,01/07/2017,31/12/2021,1233500,738898,NO,,,,,,,,,,,,,,,,,
LIFE16 ENV/ES/000276,Revitalizing multifunctional Mediterranean agrosilvopastoral systems using dynamic and profitable operational practices,UNIVERSIDAD DE EXTREMADURA,EXTREMADURA,01/09/2017,30/06/2022,2209203,1306117,NO,,,,,,,,,,,,,,,,,
LIFE16 ENV/ES/000196,Demonstration project for groundwater treatment with an innovative system based in aerobic granular technology,UNIVERSIDAD DE GRANADA,ANDALUCÍA,01/09/2017,30/09/2021,995000,546113,SI,,,,SI,,SI,,SI,,,,,,,,,SI
LIFE16 CCA/ES/000123,Climate Change adaptation of dryland agricultural systems in the Mediterranean area,UNIVERSIDAD DE MURCIA,MURCIA,01/09/2017,31/12/2022,1863729,1118166,SI,,,,,,,,,,,,,SI,,,,
LIFE16 ENV/ES/000481,Innovative circular economy concepts by reusing industrial subproducts and waste,UNIVERSIDAD DE OVIEDO,PRINCIPADO DE ASTURIAS,01/09/2017,30/06/2024,1470296,882176,SI,,,,SI,,SI,,,SI,,,SI,,,,,
LIFE16 NAT/ES/000771,Improvement and sustainable management of river corridors of the Iberian Atlantic Region,UNIVERSIDAD DE OVIEDO,PRINCIPADO DE ASTURIAS,01/09/2017,31/12/2022,3032223,2272474,SI,,SI,,SI,,SI,,SI,,SI,,SI,,SI,SI,,SI
LIFE16 NAT/ES/000707,"Managing land in common, a sustainable model for conservation and rural development in Special Areas of Conservation",UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,GALICIA,01/09/2017,31/12/2022,2001469,1493460,SI,,,,,,,,,,,,,,SI,SI,,
LIFE16 NAT/ES/000771,Improvement and sustainable management of river corridors of the Iberian Atlantic Region,UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,GALICIA,01/09/2017,31/12/2022,3032223,2272474,SI,,SI,,SI,,SI,,SI,,SI,,SI,,SI,SI,,SI
LIFE16 ENV/ES/000331,Reclamation of olive oil waste abandoned lagoons using biorecovering strategies in a circular economy scenario,UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE,C. VALENCIANA,01/10/2017,31/03/2022,1480627,879029,SI,,SI,,SI,,SI,,SI,,,,SI,,,,,SI
LIFE16 ENV/ES/000341,DESALINATED SEAWATER FOR ALTERNATIVE AND SUSTAINABLE SOILLESS CROP PRODUCTION,UNIVERSIDAD POLITECNICA DE CARTAGENA,MURCIA,01/11/2017,31/12/2020,1048026,607329,SI,,,,,,SI,,,,,,,,,,,
LIFE16 IPC/ES/000001,"Towards an integrated, coherent and inclusive implementation of Climate Change Adaptation policy in a region: Navarre ",UNIVERSIDAD PUBLICA DE NAVARRA,NAVARRA,02/10/2017,31/12/2025,15565090,9339055,SI,,,,,,,,,,,,,SI,,,,
LIFE16 NAT/ES/000707,"Managing land in common, a sustainable model for conservation and rural development in Special Areas of Conservation",UNIVERSIDADE DA CORUÑA,GALICIA,01/09/2017,31/12/2022,2001469,1493460,SI,,,,,,,,,,,,,,SI,SI,,
